heure;puissance_w
00:00;3031.23
00:15;2985.35
00:30;3036.80
00:45;2804.07
01:00;830.75
01:15;580.42
01:30;690.61
01:45;671.76
02:00;644.57
02:15;660.30
02:30;666.98
02:45;669.52
03:00;568.83
03:15;509.39
03:30;473.05
03:45;442.26
04:00;441.62
04:15;1156.99
04:30;453.19
04:45;441.63
05:00;540.58
05:15;541.02
05:30;548.97
05:45;460.51
06:00;440.92
06:15;528.17
06:30;633.70
06:45;455.24
07:00;343.66
07:15;424.02
07:30;417.71
07:45;502.03
08:00;593.72
08:15;638.98
08:30;581.63
08:45;832.12
09:00;659.64
09:15;749.97
09:30;748.76
09:45;665.16
10:00;705.90
10:15;603.21
10:30;567.67
10:45;620.30
11:00;588.51
11:15;549.20
11:30;502.00
11:45;534.60
12:00;619.03
12:15;607.53
12:30;591.76
12:45;531.32
13:00;490.29
13:15;524.38
13:30;619.72
13:45;827.24
14:00;665.51
14:15;916.14
14:30;620.61
14:45;587.14
15:00;617.97
15:15;626.30
15:30;617.59
15:45;626.23
16:00;649.97
16:15;757.84
16:30;821.08
16:45;808.40
17:00;800.00
17:15;708.04
17:30;705.93
17:45;844.78
18:00;884.51
18:15;1715.59
18:30;3511.86
18:45;904.09
19:00;958.74
19:15;1124.22
19:30;1100.78
19:45;1077.90
20:00;1058.59
20:15;1118.59
20:30;1079.55
20:45;1245.83
21:00;908.88
21:15;822.00
21:30;748.53
21:45;728.90
22:00;837.51
22:15;865.39
22:30;839.13
22:45;679.52
23:00;558.08
23:15;605.62
23:30;4746.44
23:45;6435.51
