Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20260101:0010,0.000000,0.000000,0.000000,0.000000,4.992105,3.425263,0.000000
20260101:0110,0.000000,0.000000,0.000000,0.000000,4.846842,3.306316,0.000000
20260101:0210,0.000000,0.000000,0.000000,0.000000,4.561053,3.327368,0.000000
20260101:0310,0.000000,0.000000,0.000000,0.000000,4.406842,3.220000,0.000000
20260101:0410,0.000000,0.000000,0.000000,0.000000,4.067895,3.168421,0.000000
20260101:0510,0.000000,0.000000,0.000000,0.000000,3.867895,3.140000,0.000000
20260101:0610,0.000000,0.000000,0.000000,0.000000,3.756316,3.133158,0.000000
20260101:0710,0.000000,0.000000,0.000000,0.000000,3.964211,3.313684,0.000000
20260101:0810,1.947368,9.850526,0.000000,2.605263,4.049474,3.358421,0.000000
20260101:0910,14.264211,48.842105,0.000000,9.590000,4.495263,3.423684,0.000000
20260101:1010,27.580526,76.526316,0.000000,14.710000,5.125789,3.590000,0.000000
20260101:1110,36.685789,88.526316,0.000000,17.700000,5.722105,3.710000,0.000000
20260101:1210,61.318947,85.894737,0.000000,18.270000,6.245789,3.811053,0.000000
20260101:1310,41.317895,85.315789,0.000000,16.350000,6.704737,3.887895,0.000000
20260101:1410,24.474737,72.263158,0.000000,12.140000,6.831053,3.789474,0.000000
20260101:1510,11.369474,31.315789,0.000000,6.020000,6.627895,3.640526,0.000000
20260101:1610,0.000000,0.000000,0.000000,0.000000,6.121579,3.659474,0.000000
20260101:1710,0.000000,0.000000,0.000000,0.000000,5.769474,3.800000,0.000000
20260101:1810,0.000000,0.000000,0.000000,0.000000,5.568947,3.862105,0.000000
20260101:1910,0.000000,0.000000,0.000000,0.000000,5.305789,4.095263,0.000000
20260101:2010,0.000000,0.000000,0.000000,0.000000,5.082105,4.036316,0.000000
20260101:2110,0.000000,0.000000,0.000000,0.000000,4.966316,4.140526,0.000000
20260101:2210,0.000000,0.000000,0.000000,0.000000,4.967368,4.250000,0.000000
20260101:2310,0.000000,0.000000,0.000000,0.000000,4.935263,4.247368,0.000000
